ORDERKEY,PARTKEY,SUPPKEY,LINENUMBER,QUANTITY,EXTENDEDPRICE,DISCOUNT,TAX,RETURNFLAG,LINESTATUS,SHIPDATE,COMMITDATE,RECEIPTDATE,SHIPINSTRUCT,SHIPMODE,COMMENT,ORDERKEY,CUSTKEY,ORDERSTATUS,TOTALPRICE,ORDERDATE,ORDERPRIORITY,CLERK,SHIPPRIORITY,COMMENT
160,20080,5085,3,34,34002.72,0.01,0.05,N,O,1997-01-31,1997-03-13,1997-02-14,NONE,FOB,st sleep even gifts. dependencies along,,160,82495,O,124132.06,1996-12-19,4-NOT SPECIFIED,Clerk#000000342,0,thely special sauternes wake slyly of t,
320,4415,1916,1,30,39582.30,0.05,0.01,N,O,1997-12-04,1998-01-21,1997-12-13,NONE,RAIL," ironic, final accounts wake quick de",,320,302,O,53743.60,1997-11-21,2-HIGH,Clerk#000000573,0,ar foxes nag blithely,
388,127808,7809,2,46,84446.80,0.07,0.01,A,F,1993-03-22,1993-01-26,1993-03-24,COLLECT COD,FOB,to beans nag about the careful reque,,388,44668,F,198800.71,1992-12-16,4-NOT SPECIFIED,Clerk#000000356,0,ar foxes above the furiously ironic deposits nag slyly final reque,
708,55176,5177,4,5,5655.85,0.07,0.07,N,O,1998-07-22,1998-08-15,1998-07-28,TAKE BACK RETURN,REG AIR,c pinto beans nag after the account,,708,31534,O,133960.40,1998-07-03,3-MEDIUM,Clerk#000000101,0,lphins cajole about t,
1348,94296,6806,1,13,16773.77,0.01,0.01,N,O,1998-04-28,1998-06-05,1998-05-12,TAKE BACK RETURN,SHIP," blithely r",,1348,17345,O,143342.43,1998-04-18,5-LOW,Clerk#000000206,0,tly. quickly even deposi,
1600,68481,988,4,25,36237.00,0.00,0.06,A,F,1993-05-25,1993-04-07,1993-06-05,TAKE BACK RETURN,REG AIR,press packages. ironic excuses bo,,1600,92563,F,162165.04,1993-03-03,3-MEDIUM,Clerk#000000627,0,"tions cajole quietly above the regular, silent requests. slyly fin",
2308,55630,641,2,36,57082.68,0.05,0.06,A,F,1992-11-11,1992-11-27,1992-11-23,NONE,MAIL,ong the pending hockey players. blithe,,2308,23890,F,93415.14,1992-10-25,4-NOT SPECIFIED,Clerk#000000609,0,ts. slyly final depo,
2628,94014,6524,4,23,23184.23,0.08,0.04,A,F,1993-10-27,1994-01-08,1993-11-12,DELIVER IN PERSON,TRUCK,usual packages sleep about the fina,,2628,55228,F,292422.56,1993-10-22,5-LOW,Clerk#000000836,0,ajole across the blithely careful accounts. blithely silent deposits sl,
2720,120884,3397,5,27,51431.76,0.04,0.00,R,F,1993-06-29,1993-08-06,1993-07-28,NONE,TRUCK,eas. carefully regular ,,2720,29966,F,259281.51,1993-06-08,1-URGENT,Clerk#000000948,0,quickly. special asymptotes are fluffily ironi,
3428,117436,7437,2,35,50870.05,0.02,0.03,N,O,1996-05-01,1996-06-07,1996-05-20,COLLECT COD,TRUCK,ly regular pinto beans sleep,,3428,8452,O,120158.16,1996-04-07,5-LOW,Clerk#000000953,0,lar excuses. slyly pending ideas detect p,
3908,147084,7085,2,8,9048.64,0.06,0.03,A,F,1993-03-12,1993-04-13,1993-03-22,DELIVER IN PERSON,SHIP,r instructions was requests. ironically ,,3908,41074,F,99253.78,1993-03-09,3-MEDIUM,Clerk#000000490,0,ounts cajole. regularly,
4068,109101,9102,1,43,47734.30,0.05,0.06,N,O,1996-11-28,1996-11-16,1996-12-22,NONE,AIR,"ructions. regular, special packag",,4068,124927,O,105232.75,1996-09-18,3-MEDIUM,Clerk#000000203,0,lly even accounts wake furiously across the unusual platelets. unusu,
4480,107888,5419,1,30,56876.40,0.08,0.03,R,F,1994-07-29,1994-06-22,1994-08-01,NONE,FOB,ven braids us,,4480,83083,F,53896.06,1994-03-31,4-NOT SPECIFIED,Clerk#000000534,0,"press, bold deposits boost blit",
4548,176323,1358,4,22,30785.04,0.07,0.01,N,O,1996-07-06,1996-08-23,1996-07-15,DELIVER IN PERSON,RAIL,s. furiously ironic theodolites c,,4548,126407,O,205255.64,1996-06-28,5-LOW,Clerk#000000798,0," in place of the blithely express sentiments haggle slyly r",
4640,155974,1005,5,15,30449.55,0.03,0.02,N,O,1996-03-19,1996-02-09,1996-04-11,TAKE BACK RETURN,FOB,y regular instructions doze furiously. reg,,4640,95479,O,118029.03,1996-01-01,5-LOW,Clerk#000000902,0,requests. deposits do detect above the blithely iron,
4800,96498,1517,1,11,16439.39,0.03,0.03,R,F,1992-01-27,1992-03-16,1992-02-19,TAKE BACK RETURN,RAIL,ic dependenc,,4800,35170,F,122013.08,1992-01-06,5-LOW,Clerk#000000625,0,ggle furiously along the pending pinto beans. deposits use: final foxe,
5348,142875,5390,6,14,26850.18,0.06,0.05,N,O,1997-12-16,1998-01-12,1997-12-24,COLLECT COD,FOB,en pinto beans. somas cajo,,5348,52313,O,207450.11,1997-11-08,5-LOW,Clerk#000000497,0,totes. accounts after the furiously,
5508,116947,4481,1,4,7855.76,0.10,0.04,N,O,1996-09-01,1996-08-02,1996-09-17,COLLECT COD,AIR,fluffily about the even ,,5508,55661,O,7352.98,1996-06-21,1-URGENT,Clerk#000000128,0,y express packages cajole furiously. slyly unusual requests ,
5600,7352,4853,2,19,23927.65,0.00,0.01,N,O,1997-04-10,1997-03-24,1997-04-16,TAKE BACK RETURN,TRUCK,dencies. carefully p,,5600,94060,O,69691.36,1997-02-08,4-NOT SPECIFIED,Clerk#000000019,0,lly regular deposits. car,
7840,63419,938,4,34,47001.94,0.04,0.03,A,F,1995-04-30,1995-02-16,1995-05-08,NONE,TRUCK,dolphins haggle,,7840,64732,F,168938.14,1995-01-09,5-LOW,Clerk#000000720,0,beans; carefully spe,
8000,166740,1773,2,23,41555.02,0.09,0.02,R,F,1993-10-15,1993-11-05,1993-11-08,NONE,FOB," deposits; unusual somas",,8000,15217,F,247899.79,1993-09-20,5-LOW,Clerk#000000994,0,ctions cajole furious,
8068,13566,3567,4,31,45866.36,0.03,0.07,N,O,1996-10-12,1996-09-25,1996-11-06,COLLECT COD,TRUCK,tions atop the fur,,8068,132803,O,290900.66,1996-08-12,3-MEDIUM,Clerk#000000623,0,final pinto beans. slyly unusual requests nag quickly f,
8548,193269,8308,3,12,16347.12,0.08,0.01,N,O,1997-09-06,1997-09-16,1997-09-13,COLLECT COD,MAIL,hlessly regular,,8548,125513,O,112492.22,1997-08-05,1-URGENT,Clerk#000000314,0,accounts across the regul,
8708,42059,9572,5,17,17017.85,0.04,0.05,N,O,1998-03-12,1998-02-08,1998-04-04,NONE,AIR,ndencies along the ,,8708,121631,O,168541.44,1997-11-27,1-URGENT,Clerk#000000627,0,ly after the quickly dogged requests. furiously bold accounts along ,
9280,42165,4670,1,30,33214.80,0.03,0.05,N,O,1998-08-21,1998-07-31,1998-08-27,COLLECT COD,TRUCK,arefully carefully spe,,9280,122267,O,260583.02,1998-06-12,5-LOW,Clerk#000000022,0,beans alongside of the fluffily express asymptotes integrate ,
9348,113796,6308,3,22,39815.38,0.04,0.03,N,O,1996-07-24,1996-08-11,1996-08-11,NONE,TRUCK,unusual pinto beans haggle slyly slyly ,,9348,65776,O,150937.33,1996-06-07,5-LOW,Clerk#000000416,0,ackages. carefully ironic pinto beans about the close accoun,
10080,40848,8361,4,32,57242.88,0.04,0.04,R,F,1993-04-11,1993-05-01,1993-05-04,TAKE BACK RETURN,TRUCK,final ideas integra,,10080,10820,F,250540.91,1993-02-13,5-LOW,Clerk#000000362,0,carefully blithely express epitaph,
10400,141502,1503,6,27,41674.50,0.08,0.03,N,O,1996-11-26,1997-01-22,1996-12-09,TAKE BACK RETURN,AIR,ounts. blithely bold packages detect bli,,10400,22981,O,304878.07,1996-10-24,2-HIGH,Clerk#000000375,0,cing accounts sleep slyly regu,
10720,35748,8252,3,7,11786.18,0.01,0.03,N,O,1998-04-25,1998-06-10,1998-04-29,DELIVER IN PERSON,SHIP,"iously bold dolphins. regular, regular",,10720,73546,O,128698.95,1998-03-31,2-HIGH,Clerk#000000597,0,"ccounts sleep bold, even theodol",
12388,181289,6326,6,50,68514.00,0.10,0.00,N,O,1997-11-29,1997-12-10,1997-12-09,NONE,REG AIR,ding to the blit,,12388,95161,O,344020.86,1997-10-16,4-NOT SPECIFIED,Clerk#000000611,0,boost furiously furiously final accounts. slyly regular deposits are am,
12800,179110,9111,5,47,55888.17,0.02,0.05,A,F,1993-08-23,1993-08-02,1993-09-22,NONE,AIR,refully bold requests should,,12800,1009,F,334244.32,1993-05-23,5-LOW,Clerk#000000898,0,. slyly final accounts cajole i,
12960,12622,2623,2,32,49107.84,0.06,0.07,A,F,1994-02-08,1993-12-19,1994-02-21,COLLECT COD,REG AIR,s detect blithely. slyly careful ,,12960,124223,F,161377.37,1993-10-10,2-HIGH,Clerk#000000340,0,ng theodolites haggle after the final id,
13120,113634,1168,2,22,36247.86,0.06,0.00,R,F,1995-03-14,1995-02-11,1995-04-08,NONE,MAIL,. requests cajole slyly. ,,13120,103873,F,84716.67,1994-12-15,5-LOW,Clerk#000000149,0," to the quickly express requests nag carefully stealthily regular requ",
13188,155895,5896,3,16,31214.24,0.04,0.02,N,O,1998-10-03,1998-10-06,1998-10-17,TAKE BACK RETURN,RAIL,. carefully regular ac,,13188,143531,O,92431.81,1998-07-20,3-MEDIUM,Clerk#000000061,0,"ckey players. accounts haggle fluffily against the foxes. unusual, expre",
13280,142760,2761,1,24,43266.24,0.08,0.02,A,F,1994-12-19,1994-11-18,1995-01-10,COLLECT COD,AIR,iously reg,,13280,31345,F,242798.20,1994-09-12,2-HIGH,Clerk#000000073,0,pinto beans promise carefully final requests. r,
14308,140916,5945,3,45,88060.95,0.04,0.02,N,O,1997-12-09,1997-10-09,1998-01-07,DELIVER IN PERSON,RAIL,"ully bold pinto beans. final,",,14308,482,O,164053.82,1997-08-11,3-MEDIUM,Clerk#000000354,0,iously. packages wake according to the furio,
14400,59887,7403,4,23,42478.24,0.01,0.08,R,F,1994-02-09,1994-04-10,1994-02-25,NONE,AIR,posits. ir,,14400,63179,F,296500.76,1994-02-05,3-MEDIUM,Clerk#000000479,0,uests. furiously unusual platelets hinder final packages. bold,
15040,21629,9136,5,14,21708.68,0.06,0.01,R,F,1995-03-12,1995-01-11,1995-03-23,TAKE BACK RETURN,SHIP,latelets. pendin,,15040,69614,F,195477.26,1994-12-05,5-LOW,Clerk#000000691,0,special decoys-- accounts a,
15588,20949,3452,1,8,14959.52,0.05,0.06,N,O,1997-05-15,1997-05-04,1997-05-18,TAKE BACK RETURN,SHIP,ntegrate. r,,15588,57439,O,101146.50,1997-03-31,1-URGENT,Clerk#000000188,0,"en, unusual notornis. regular epitaphs",
16000,15725,8227,2,1,1640.72,0.05,0.07,N,O,1998-01-13,1998-02-05,1998-01-30,NONE,MAIL,deposits use blithely ironic frays. ,,16000,73354,O,162488.57,1997-12-17,3-MEDIUM,Clerk#000000782,0,. regular instructions sleep qui,
16228,19825,7329,3,34,59323.88,0.01,0.00,N,O,1998-01-26,1998-01-02,1998-02-12,DELIVER IN PERSON,MAIL,"side of the regular, regula",,16228,1606,O,217079.22,1997-10-27,2-HIGH,Clerk#000000546,0," at the even, special foxes. bold deposits ",
16480,58752,1258,1,47,80405.25,0.10,0.04,A,F,1995-02-02,1995-01-08,1995-03-01,COLLECT COD,FOB," packages detect slyly among the blithely r",,16480,71738,F,309540.30,1994-12-07,4-NOT SPECIFIED,Clerk#000000980,0," the slyly even deposits detec",
16708,199820,4859,4,26,49915.32,0.00,0.08,N,O,1996-11-05,1996-10-01,1996-11-08,TAKE BACK RETURN,SHIP," regular attainments sleep furiou",,16708,141482,O,156615.39,1996-08-31,5-LOW,Clerk#000000025,0,lithely bold accounts wake carefully furiously idle,
17188,139666,4693,4,12,20467.92,0.05,0.07,N,O,1998-04-29,1998-03-01,1998-05-24,NONE,SHIP," ironic theodolites.",,17188,9736,O,162957.17,1998-01-11,2-HIGH,Clerk#000000618,0,y. regular accounts beside the furiously final instruct,
17600,156351,1382,6,28,39405.80,0.09,0.02,N,O,1996-01-27,1995-11-17,1996-02-25,COLLECT COD,SHIP,long the carefully regular foxes are sl,,17600,4159,O,239761.72,1995-10-05,3-MEDIUM,Clerk#000000842,0,terns. slyly special packages after the accounts run blithely al,
17760,197751,7752,3,25,46218.75,0.03,0.00,A,F,1992-09-17,1992-07-08,1992-09-30,COLLECT COD,MAIL,Tiresias serve. special foxes cajole regula,,17760,94528,F,214493.47,1992-06-05,4-NOT SPECIFIED,Clerk#000000093,0,uriously final pinto beans wake furiously ,
18308,145593,622,3,1,1638.59,0.06,0.04,A,F,1995-01-02,1994-12-10,1995-01-31,TAKE BACK RETURN,AIR," accounts sleep silent asymptotes.",,18308,77614,F,268058.97,1994-10-10,4-NOT SPECIFIED,Clerk#000000315,0,ording to the even instructio,
18720,87522,31,1,44,66418.88,0.08,0.08,N,O,1996-05-07,1996-04-26,1996-05-19,COLLECT COD,MAIL,s detect slyly si,,18720,59605,O,255655.05,1996-03-03,2-HIGH,Clerk#000000122,0," about the slyly final ",
